recipe_name,cuisine_type,prep_time_minutes,difficulty,main_ingredient,calories_per_serving
Spaghetti Carbonara,Italian,20,Easy,Pasta,450
Margherita Pizza,Italian,45,Medium,Tomato,320
Risotto Milanese,Italian,35,Hard,Rice,380
Tiramisu,Italian,30,Medium,Mascarpone,295
Bruschetta,Italian,10,Easy,Tomato,180
Osso Buco,Italian,120,Hard,Veal,520
Panna Cotta,Italian,15,Easy,Cream,240
Lasagna Bolognese,Italian,90,Hard,Pasta,485
Minestrone Soup,Italian,40,Medium,Vegetables,165
Gelato,Italian,25,Medium,Milk,210
